,Year,Team,Rank,GateRevenue,OtherRevenue,TotalRevenues,PlayerExpenses,OtherExpenses,TotalExpenses,Operatingincome,Year2,City,CityPopulation(in thousand),Attendance(in thousand),State,StateMedianIncome(2021$in thousand),WinningTotal
0,2000-2001,Atlanta Hawks,,,,76.0,42.2,28.0,,5.8,2000,Atlanta city,417.534,560.324,Georgia,41.901,25.0
1,2000-2001,Boston Celtics,,,,81.0,49.5,21.7,,9.8,2000,Boston city,591.844,629.201,Massachusetts,46.753,36.0
2,2000-2001,Brooklyn Nets,,,,73.0,59.7,24.6,,-11.3,2000,Brooklyn city,11.513,,New York,40.744,26.0
3,2000-2001,Charlotte Hornets,,,,65.0,49.4,16.1,,-0.5,2000,Charlotte city,577.676,615.424,North Carolina,38.317,46.0
4,2000-2001,Chicago Bulls,,,,117.0,32.7,32.6,,51.7,2000,Chicago city,2891.582,888.654,Illinois,46.064,15.0
5,2000-2001,Cleveland Cavaliers,,,,75.0,47.8,20.1,,7.1,2000,Cleveland city,475.755,650.775,Ohio,42.962,30.0
6,2000-2001,Dallas Mavericks,,,,68.0,59.9,31.5,,-23.4,2000,Dallas city,1188.168,680.138,Texas,38.609,53.0
7,2000-2001,Denver Nuggets,,,,72.0,54.8,24.8,,-7.6,2000,Denver city,555.651,619.3,Colorado,48.24,40.0
8,2000-2001,Detroit Pistons,,,,92.0,40.5,33.5,,18.0,2000,Detroit city,946.24,607.323,Michigan,45.512,32.0
9,2000-2001,Golden State Warriors,,,,69.0,44.9,21.2,,2.9,2000,San Francisco city,777.885,591.981,California,46.816,17.0
10,2000-2001,Houston Rockets,,,,81.0,52.3,24.9,,3.8,2000,Houston city,1974.324,518.555,Texas,38.609,45.0
11,2000-2001,Indiana Pacers,,,,89.0,57.6,30.7,,0.7,2000,Indianapolis city,,733.444,Indiana,40.865,41.0
12,2000-2001,Los Angeles Clippers,,,,68.0,32.6,23.9,,11.5,2000,Los Angeles city,3701.062,599.448,California,46.816,31.0
13,2000-2001,Los Angeles Lakers,,,,144.0,65.1,47.8,,31.1,2000,Los Angeles city,3701.062,776.336,California,46.816,56.0
14,2000-2001,Memphis Grizzlies,,,,53.0,51.2,15.1,,-13.3,2000,Memphis city,688.137,563.218,Tennessee,34.096,23.0
15,2000-2001,Miami Heat,,,,99.0,66.9,30.8,,1.3,2000,Miami city,362.453,677.186,Florida,38.856,50.0
16,2000-2001,Milwaukee Bucks,,,,65.0,60.4,20.9,,-16.3,2000,Milwaukee city,596.382,683.125,Wisconsin,45.088,52.0
17,2000-2001,Minnesota Timberwolves,,,,77.0,50.2,22.6,,4.2,2000,Minneapolis city,383.063,717.371,Minnesota,54.251,47.0
18,2000-2001,New York Knicks,,,,157.0,81.6,46.9,,28.5,2000,New York city,8017.608,810.283,New York,40.744,48.0
19,2000-2001,Oklahoma City Thunder,,,,80.0,53.6,24.3,,2.1,2000,Oklahoma city,,,Oklahoma,32.432,44.0
20,2000-2001,Orlando Magic,,,,76.0,40.0,22.7,,13.3,2000,Orlando city,196.109,605.031,Florida,38.856,43.0
21,2000-2001,Philadelphia 76ers,,,,103.0,53.6,38.3,,11.1,2000,Philadelphia city,1514.563,805.692,Pennsylvania,42.176,56.0
22,2000-2001,Phoenix Suns,,,,102.0,45.5,31.3,,25.2,2000,Phoenix city,1326.682,737.596,Arizona,39.783,51.0
23,2000-2001,Portland Trail Blazers,,,,101.0,89.5,30.8,,-19.3,2000,Portland city,529.845,831.385,Oregon,42.499,50.0
